Period,Time,Strength,Team,Shooter,Shot Type,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Screen?,Rush?,Origin,Oddman?,G?,State,Entry Type,Entry By,Defended by,Pass?,Lane,Dump recovered?,Chance?,Retrieval,Result,Pressure,Exit,Result,Game ID,Home,Road,Date
1,17:41,5v5,PHI,21,w,62,20,,oelc,ol,,,,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,17:34,5v5,PHI,62,w,,,,,,,y,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,17:04,5v5,NYR,55,w,23,91,,or,opr,,,,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,16:26,5v5,PHI,25,w,49,,,oelr,,,,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,15:54,5v5,PHI,49,w,11,86,,ol,dl,,,,,r,dz,,,0,,,,,,,,,,,,,20489,,,
1,15:45,5v5,NYR,10,W,79,,,dl,,,,,,r,dz,,,0,,,,,,,,,,,,,20489,,,
1,14:35,5v5,NYR,72,w,23,13,,or,opr,,y,y,,f,dz,,,0,,,,,,,,,,,,,20489,,,
1,13:11,5v5,NYR,10,w,,,,,,,,y,,f,oz,,,0,,,,,,,,,,,,,20489,,,
1,12:53,5v5,NYR,5,w,,,,,,,y,,,r,nz,3 on 1,,0,,,,,,,,,,,,,20489,,,
1,12:49,5v5,PHI,25,w,74,25,,ol,nr,,y,y,,r,dz,,y,0,,,,,,,,,,,,,20489,,,
1,12:27,5v5,NYR,55,w,20,26,23,or,dr,dr,y,,,r,dz,,,1,,,,,,,,,,,,,20489,,,
1,12:10,5v5,NYR,20,w,26,16,55,oc,nr,dr,,,,r,dz,,,1,,,,,,,,,,,,,20489,,,
1,12:06,5v5,NYR,20,r,,,,,,,y,y,,r,dz,,,1,,,,,,,,,,,,,20489,,,
1,12:00,5v5,NYR,16,t,23,26,,oc,or,,y,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,10:35,5v5,PHI,86,w,,,,,,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,8:43,5v5,NYR,74,t,4,16,,or,opl,,y,y,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,8:39,5v5,PHI,25,W,74,,,dsr,,,y,y,,r,dz,2 on 1,,1,,,,,,,,,,,,,20489,,,
1,8:12,5v5,PHI,24,w,62,,,opl,,,,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,8:11,5v5,PHI,62,r,,,,,,,,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
1,7:29,5v5,PHI,86,t,9,11,,ol,opl,,,,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,7:17,5v5,PHI,86,w,11,,,ol,,,,,,f,oz,,,1,,,,,,,,,,,,,20489,,,
1,7:00,5v5,NYR,5,w,4,13,,or,opr,,,,,c,oz,,,1,,,,,,,,,,,,,20489,,,
