team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2022,NYR,NYR,Team Level,other,7,0.37,0.41,0.4,899.0,12.28,2.78,0.99,2.22,0.45,7.25,3.31,2.69,2.78,2.69,8.0,9.0,6.0,23.0,2.0,1.0,0.0,1.0,3.0,7.0,3.0,6.0,15.0,1.0,2.0,13.0,1.0,1.0,2.0,6.0,9.0,2.0,0.34,1.17,1.28,0.0,1.0,1.0,23.0,17.0,17.0,0.0,0.31,0.18,0.18,2.91,2.91,2.81,19.53,4.66,1.44,3.46,0.73,9.53,6.19,3.84,4.66,3.84,22.0,4.0,7.0,33.0,3.0,2.0,0.0,7.0,0.0,9.0,5.0,19.0,23.0,2.0,4.0,17.0,3.0,1.0,4.0,11.0,7.0,8.0,0.46,0.92,3.28,0.0,1.0,2.0,33.0,26.0,26.0,1.0,0.45,0.71,0.71,4.4,4.4,3.79
NYR,2022,NYR,NYR,Team Level,all,7,0.53,0.55,0.57,25549.0,256.36,25.03,19.1,57.62,8.38,147.88,100.99,23.48,24.92,23.38,258.0,101.0,104.0,463.0,22.0,23.0,1.0,58.0,8.0,133.0,115.0,236.0,337.0,24.0,51.0,210.0,201.0,46.0,72.0,256.0,82.0,21.0,8.21,9.65,7.16,6.0,12.0,4.0,462.8,359.0,357.26,37.0,4.27,4.1,4.1,25.19,25.03,24.16,196.47,22.34,13.62,43.27,6.72,105.77,78.3,21.04,22.66,21.37,210.0,60.0,103.0,373.0,22.0,15.0,2.0,39.0,0.0,88.0,106.0,188.0,248.0,30.0,63.0,180.0,142.0,52.0,63.0,184.0,61.0,25.0,5.93,7.31,9.1,8.0,8.0,6.0,378.68,270.0,275.02,35.0,3.09,4.53,4.53,20.89,21.21,20.31
NYR,2022,NYR,NYR,Team Level,5on5,7,0.52,0.54,0.56,20404.0,179.72,14.31,12.13,42.93,5.79,103.87,73.96,13.94,14.2,13.84,182.0,71.0,82.0,335.0,14.0,11.0,1.0,42.0,4.0,94.0,88.0,168.0,239.0,20.0,43.0,156.0,190.0,35.0,58.0,191.0,51.0,11.0,5.77,5.79,2.75,4.0,8.0,2.0,334.8,253.0,251.26,34.0,2.49,1.93,1.93,14.87,14.72,14.44,144.42,13.21,9.85,33.77,5.01,79.24,58.92,12.97,13.54,13.3,151.0,49.0,85.0,285.0,14.0,10.0,1.0,28.0,0.0,63.0,85.0,137.0,186.0,24.0,51.0,128.0,136.0,46.0,52.0,142.0,45.0,13.0,4.82,5.38,3.02,8.0,4.0,2.0,290.68,200.0,205.02,32.0,2.03,1.94,1.94,13.31,13.62,13.49
NYR,2022,NYR,NYR,Team Level,4on5,7,0.11,0.2,0.24,1741.0,7.98,0.53,0.34,1.12,0.23,2.6,6.18,0.52,0.53,0.52,8.0,3.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,7.0,10.0,1.0,2.0,15.0,7.0,8.0,2.0,8.0,3.0,0.0,0.23,0.31,0.0,0.0,1.0,0.0,11.0,11.0,11.0,2.0,0.08,0.0,0.0,0.61,0.61,0.6,25.15,4.18,2.07,4.72,0.76,14.55,7.72,3.95,4.18,3.95,29.0,5.0,9.0,43.0,4.0,3.0,1.0,4.0,0.0,14.0,9.0,25.0,30.0,2.0,4.0,12.0,0.0,2.0,5.0,22.0,8.0,4.0,0.48,0.89,2.81,0.0,2.0,2.0,43.0,34.0,34.0,0.0,0.54,1.88,1.88,2.84,2.84,2.68
NYR,2022,NYR,NYR,Team Level,5on4,7,0.96,0.89,0.89,2505.0,56.37,7.4,5.64,11.35,1.92,34.16,17.54,6.33,7.4,6.33,60.0,18.0,16.0,94.0,5.0,11.0,0.0,14.0,1.0,28.0,19.0,55.0,73.0,2.0,4.0,26.0,3.0,2.0,10.0,51.0,19.0,8.0,1.88,2.38,3.14,2.0,2.0,1.0,94.0,78.0,78.0,1.0,1.39,1.99,1.99,6.8,6.8,6.31,7.37,0.29,0.26,1.33,0.21,2.45,5.47,0.29,0.29,0.29,8.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,9.0,2.0,4.0,23.0,3.0,3.0,2.0,9.0,1.0,0.0,0.17,0.12,0.0,0.0,1.0,0.0,12.0,10.0,10.0,2.0,0.06,0.0,0.0,0.35,0.35,0.35
NYI,2022,NYI,NYI,Team Level,other,6,0.44,0.58,0.57,1223.0,20.45,3.97,1.54,3.74,0.62,10.91,6.22,3.77,3.97,3.77,23.0,4.0,12.0,39.0,3.0,3.0,1.0,7.0,0.0,7.0,7.0,20.0,24.0,0.0,0.0,14.0,3.0,3.0,4.0,13.0,10.0,4.0,0.54,1.16,2.27,0.0,1.0,2.0,39.0,27.0,27.0,1.0,0.45,1.37,1.37,3.05,3.05,2.94,13.85,5.14,0.93,2.46,0.5,6.74,4.23,5.0,5.14,5.0,13.0,7.0,8.0,28.0,2.0,3.0,0.0,3.0,1.0,7.0,4.0,11.0,18.0,0.0,0.0,15.0,2.0,0.0,2.0,7.0,4.0,9.0,0.17,0.47,4.5,0.0,0.0,2.0,28.0,20.0,20.0,1.0,0.28,0.76,0.76,4.66,4.66,4.62
NYI,2022,NYI,NYI,Team Level,all,6,0.51,0.51,0.52,21600.0,196.34,21.33,14.3,46.48,6.75,112.25,74.9,20.13,21.11,19.93,194.0,82.0,98.0,374.0,19.0,23.0,4.0,53.0,7.0,80.0,94.0,175.0,257.0,25.0,50.0,181.0,199.0,34.0,78.0,200.0,53.0,23.0,6.01,6.3,9.01,8.0,4.0,7.0,369.79,276.0,272.24,39.0,3.24,5.67,5.67,18.9,18.69,17.9,181.35,20.85,13.45,41.86,6.22,97.58,71.04,20.03,21.38,20.53,181.0,70.0,108.0,359.0,18.0,26.0,4.0,31.0,6.0,85.0,85.0,163.0,233.0,23.0,48.0,177.0,110.0,37.0,69.0,173.0,57.0,21.0,5.11,7.35,8.39,3.0,8.0,7.0,369.05,251.0,258.68,36.0,3.01,5.44,5.44,18.42,18.79,18.52
NYI,2022,NYI,NYI,Team Level,5on5,6,0.46,0.5,0.51,16125.0,136.09,11.7,9.6,34.48,4.83,77.28,54.11,11.22,11.48,11.02,133.0,59.0,70.0,262.0,14.0,17.0,2.0,34.0,6.0,53.0,68.0,119.0,178.0,21.0,42.0,128.0,187.0,25.0,62.0,148.0,32.0,12.0,4.37,3.75,3.58,7.0,3.0,4.0,257.79,192.0,188.24,34.0,1.98,3.12,3.12,10.55,10.35,10.23,132.9,13.66,9.28,32.19,4.52,71.15,53.21,13.1,14.19,13.6,132.0,52.0,78.0,262.0,16.0,20.0,4.0,21.0,4.0,58.0,65.0,116.0,168.0,21.0,44.0,118.0,101.0,27.0,59.0,126.0,47.0,11.0,4.03,6.13,3.5,3.0,8.0,5.0,272.05,184.0,191.68,32.0,1.93,4.18,4.18,11.41,11.78,11.6
NYI,2022,NYI,NYI,Team Level,4on5,6,0.28,0.13,0.15,2230.0,4.83,0.66,0.32,0.83,0.18,1.86,3.15,0.66,0.66,0.66,5.0,2.0,2.0,9.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,7.0,2.0,4.0,16.0,7.0,5.0,2.0,5.0,1.0,1.0,0.16,0.18,0.31,0.0,0.0,0.0,9.0,7.0,7.0,2.0,0.07,0.01,0.01,0.72,0.72,0.72,28.32,1.7,2.93,6.33,1.04,17.81,9.19,1.61,1.7,1.61,30.0,9.0,21.0,60.0,0.0,3.0,0.0,5.0,0.0,18.0,13.0,30.0,39.0,1.0,2.0,21.0,1.0,5.0,7.0,34.0,4.0,1.0,0.81,0.51,0.39,0.0,0.0,0.0,60.0,39.0,39.0,2.0,0.73,0.5,0.5,1.93,1.93,1.9
NYI,2022,NYI,NYI,Team Level,5on4,6,0.93,0.88,0.86,2022.0,34.98,5.0,2.84,7.42,1.12,22.2,11.42,4.48,5.0,4.48,33.0,17.0,14.0,64.0,2.0,2.0,1.0,11.0,1.0,18.0,16.0,31.0,48.0,2.0,4.0,23.0,2.0,1.0,10.0,34.0,10.0,6.0,0.94,1.21,2.84,1.0,0.0,1.0,64.0,50.0,50.0,2.0,0.74,1.17,1.17,4.57,4.57,4.01,6.28,0.35,0.31,0.88,0.16,1.88,4.42,0.33,0.35,0.33,6.0,2.0,1.0,9.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,6.0,8.0,1.0,2.0,23.0,6.0,5.0,1.0,6.0,2.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,9.0,8.0,8.0,1.0,0.07,0.0,0.0,0.42,0.42,0.4
