"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","17","828.45","5","9","3","4","13","0.382","753","815","48.02","550","606","47.58","399","424","48.48","33","44","42.86","36.45","35.94","50.35","409","431","48.69","246","243","50.31","23","39","37.10","9.35","83.95","174","153","53.21","127","109","53.81","11","20","35.48","8.66","81.65","235","278","45.81","119","134","47.04","12","19","38.71","10.08","85.82","295","335","46.83","135","154","46.71","10","5","66.67","7.41","96.75","8.27","89.62","0.979"
"2","Nashville Predators","15","678.8667","6","8","1","5","13","0.433","674","655","50.71","489","477","50.62","330","344","48.96","27","32","45.76","30.7","29.62","50.89","338","338","50.00","171","192","47.11","22","28","44.00","12.87","85.42","122","134","47.66","80","93","46.24","16","16","50.00","20.00","82.80","216","204","51.43","91","99","47.89","6","12","33.33","6.59","87.88","290","266","52.16","144","134","51.80","5","4","55.56","3.47","97.01","8.18","90.70","0.989"
"3","Tampa Bay Lightning","15","674.8","8","6","1","8","17","0.567","639","623","50.63","466","451","50.82","336","326","50.76","31","33","48.44","30.9","30.16","50.61","371","358","50.89","197","188","51.17","23","31","42.59","11.68","83.51","163","137","54.33","106","92","53.54","15","17","46.88","14.15","81.52","208","221","48.48","91","96","48.66","8","14","36.36","8.79","85.42","228","226","50.22","124","126","49.60","8","2","80.00","6.45","98.41","9.23","89.88","0.991"
"4","New York Rangers","17","802.5333","8","6","3","8","19","0.559","791","678","53.85","596","480","55.39","425","359","54.21","33","33","50.00","38.42","30.48","55.76","432","352","55.10","237","194","54.99","28","29","49.12","11.81","85.05","178","142","55.63","121","103","54.02","19","18","51.35","15.70","82.52","254","210","54.74","116","91","56.04","9","11","45.00","7.76","87.91","306","277","52.49","174","150","53.70","5","4","55.56","2.87","97.33","7.76","90.81","0.986"
"5","Vegas Golden Knights","16","790.7167","13","3","0","13","26","0.813","783","798","49.53","575","537","51.71","433","382","53.13","38","27","58.46","39.73","31.35","55.90","434","393","52.48","260","202","56.28","33","24","57.89","12.69","88.12","193","141","57.78","142","94","60.17","18","14","56.25","12.68","85.11","241","252","48.88","118","108","52.21","15","10","60.00","12.71","90.74","285","333","46.12","147","157","48.36","5","2","71.43","3.40","98.73","8.78","92.93","1.017"
"6","Los Angeles Kings","17","770.7667","10","6","1","9","21","0.618","795","698","53.25","585","497","54.07","418","356","54.01","37","33","52.86","36.09","28.61","55.78","405","343","54.14","233","192","54.82","34","28","54.84","14.59","85.42","169","136","55.41","118","93","55.92","22","17","56.41","18.64","81.72","236","207","53.27","115","99","53.74","12","11","52.17","10.43","88.89","339","277","55.03","169","135","55.59","3","5","37.50","1.78","96.30","8.85","90.73","0.996"
"7","Boston Bruins","16","730.3","14","2","0","13","28","0.875","686","659","51.00","514","489","51.25","386","362","51.60","37","24","60.66","31.99","27.78","53.52","360","312","53.57","206","184","52.82","31","21","59.62","15.05","88.59","148","124","54.41","106","91","53.81","20","10","66.67","18.87","89.01","212","188","53.00","100","93","51.81","11","11","50.00","11.00","88.17","292","298","49.49","161","151","51.60","6","3","66.67","3.73","98.01","9.59","93.37","1.030"
"8","Washington Capitals","17","790.0167","7","8","2","7","16","0.471","752","760","49.74","536","564","48.73","362","403","47.32","34","31","52.31","30.95","36.07","46.18","361","376","48.98","184","209","46.82","33","27","55.00","17.93","87.08","141","153","47.96","85","105","44.74","16","20","44.44","18.82","80.95","220","223","49.66","99","104","48.77","17","7","70.83","17.17","93.27","317","323","49.53","143","171","45.54","1","4","20.00","0.70","97.66","9.39","92.31","1.017"
"9","Columbus Blue Jackets","14","689","4","9","1","4","9","0.321","608","756","44.57","446","558","44.42","337","402","45.60","29","47","38.16","25.88","33.61","43.50","284","365","43.76","173","206","45.65","21","40","34.43","12.14","80.58","101","141","41.74","73","104","41.24","12","25","32.43","16.44","75.96","183","224","44.96","100","102","49.50","9","15","37.50","9.00","85.29","266","337","44.11","145","183","44.21","8","7","53.33","5.52","96.17","8.61","88.31","0.969"
"10","Carolina Hurricanes","15","695.8333","9","5","1","7","19","0.633","815","486","62.64","599","376","61.44","403","276","59.35","32","24","57.14","37.03","24.41","60.27","402","249","61.75","216","156","58.06","27","19","58.70","12.50","87.82","176","121","59.26","115","81","58.67","17","12","58.62","14.78","85.19","226","128","63.84","101","75","57.39","10","7","58.82","9.90","90.67","345","188","64.73","171","99","63.33","5","5","50.00","2.92","94.95","7.94","91.30","0.992"
