playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477503,2022,Max Domi,CHI,C,other,12,348.0,4.0,2.33,0.3,0.49,0.56,0.47,0.56,0.47,17.0,0.64,0.1,0.06,0.12,0.03,0.58,0.11,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.02,0.0,0.0,0.13,0.13,0.11,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,415.0,0.0,2.0,1.0,0.0,3.73,0.48,0.46,0.48,0.46,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,0.08,0.4,0.0,0.0,1.0,0.0,5.0,5.0,5.0,0.11,0.0,0.0,0.59,0.59,0.56,2.55,1.12,1.12,1.12,1.12,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.02,0.09,1.0,0.0,0.0,1.0,4.0,4.0,4.0,0.03,0.0,0.0,1.15,1.15,1.15,1.13,1.16,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8477503,2022,Max Domi,CHI,C,all,12,12857.0,243.0,3.77,0.46,0.43,0.45,0.39,0.47,0.4,38.0,13.82,1.84,1.04,2.89,0.43,6.85,4.94,1.79,1.85,1.8,2.0,1.0,17.0,1.0,4.0,22.0,7.0,4.0,0.0,1.0,3.0,0.0,3.0,8.0,13.0,14.0,6.0,15.0,105.0,5.0,13.0,11.0,12.0,4.0,2.0,0.4,0.45,1.0,0.0,2.0,2.0,21.82,18.0,18.0,1.0,0.25,0.0,0.37,1.73,1.74,1.72,243.0,50.0,14.0,41.0,138.0,9.0,34.0,30.0,170.0,105.0,66.0,30906.0,15.0,13.0,5.0,3.0,101.52,9.39,9.15,9.23,9.0,102.0,35.0,38.0,175.0,12.0,8.0,3.0,102.0,25.0,10.0,2.87,3.01,3.51,3.0,4.0,5.0,172.37,137.0,135.01,1.67,1.98,1.98,9.06,8.95,8.83,114.93,10.95,10.56,11.15,10.75,110.0,47.0,54.0,211.0,6.0,11.0,0.0,118.0,25.0,14.0,3.58,3.42,3.94,1.0,3.0,2.0,216.65,157.0,160.8,1.62,2.29,2.29,10.28,10.44,10.27,21.06,28.0,362.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0
8477503,2022,Max Domi,CHI,C,5on5,12,10481.0,201.0,3.77,0.42,0.45,0.41,0.42,0.42,0.42,32.0,9.19,0.57,0.6,2.03,0.27,4.75,3.78,0.57,0.57,0.57,1.0,1.0,11.0,1.0,3.0,15.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,11.0,12.0,4.0,11.0,88.0,4.0,10.0,9.0,10.0,2.0,0.0,0.34,0.22,0.0,0.0,0.0,0.0,14.81,12.0,12.0,1.0,0.12,0.0,0.0,0.69,0.7,0.7,201.0,24.0,14.0,34.0,129.0,7.0,30.0,21.0,143.0,88.0,58.0,24188.0,11.0,9.0,3.0,3.0,74.52,6.29,6.14,6.14,5.99,70.0,30.0,32.0,132.0,4.0,6.0,1.0,76.0,17.0,7.0,1.86,2.22,2.21,1.0,1.0,2.0,129.37,100.0,98.01,1.0,1.55,1.55,5.74,5.63,5.55,100.15,8.72,8.33,8.93,8.53,98.0,39.0,52.0,189.0,4.0,11.0,0.0,106.0,20.0,11.0,3.24,2.78,2.71,1.0,2.0,1.0,194.65,137.0,140.8,1.42,2.29,2.29,7.85,8.01,7.84,13.8,16.91,295.0,409.0,0.09,0.46,4.0,5.0,4.0,5.0
8477503,2022,Max Domi,CHI,C,4on5,12,37.0,4.0,1.74,0.0,0.1,0.0,0.12,0.0,0.11,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.16,0.16,0.16,0.16,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02,0.13,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.06,0.0,0.0,0.22,0.22,0.22,0.37,3.46,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8477503,2022,Max Domi,CHI,C,5on4,12,1991.0,34.0,4.04,0.72,0.83,0.7,0.82,0.69,0.8,42.0,3.18,1.05,0.33,0.58,0.11,1.25,0.67,1.01,1.05,1.01,1.0,0.0,4.0,0.0,1.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,12.0,0.0,2.0,2.0,2.0,0.0,2.0,0.05,0.0,1.0,0.0,0.0,2.0,5.0,4.0,4.0,0.0,0.1,0.0,0.37,0.78,0.78,0.77,34.0,24.0,0.0,5.0,5.0,2.0,3.0,7.0,22.0,12.0,0.0,1489.0,4.0,0.0,0.0,0.0,22.45,2.49,2.43,2.49,2.43,26.0,5.0,6.0,37.0,6.0,2.0,2.0,25.0,3.0,3.0,0.93,0.26,1.3,2.0,1.0,3.0,37.0,31.0,31.0,0.54,0.43,0.43,2.6,2.6,2.58,10.63,0.95,0.94,0.95,0.94,9.0,5.0,2.0,16.0,1.0,0.0,0.0,10.0,3.0,1.0,0.3,0.42,0.23,0.0,1.0,0.0,16.0,14.0,14.0,0.12,0.0,0.0,1.06,1.06,1.06,2.85,0.56,33.0,7.0,0.0,0.04,0.0,2.0,0.0,1.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,other,14,430.0,9.0,1.27,0.29,0.61,0.24,0.78,0.19,0.77,33.0,0.69,0.03,0.04,0.18,0.02,0.37,0.37,0.03,0.03,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.04,9.0,2.0,2.0,0.0,5.0,0.0,0.0,2.0,7.0,0.0,0.0,1255.0,0.0,0.0,0.0,3.0,2.87,0.63,0.63,0.63,0.63,4.0,0.0,3.0,7.0,1.0,0.0,0.0,3.0,0.0,1.0,0.08,0.0,0.55,0.0,0.0,1.0,7.0,4.0,4.0,0.03,0.0,0.0,0.66,0.66,0.66,11.81,1.54,1.23,1.54,1.23,11.0,6.0,5.0,22.0,1.0,1.0,1.0,12.0,3.0,2.0,0.31,0.35,0.89,0.0,0.0,1.0,22.0,17.0,17.0,0.33,0.62,0.62,1.25,1.25,1.17,3.48,2.2,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,all,14,15194.0,329.0,1.65,0.45,0.52,0.42,0.53,0.41,0.52,61.0,15.36,0.51,0.87,3.88,0.5,9.77,7.48,0.5,0.5,0.49,0.0,1.0,14.0,9.0,14.0,37.0,1.0,0.0,2.0,0.0,4.0,0.0,12.0,5.0,14.0,23.0,0.0,0.0,0.0,6.0,3.0,1.0,23.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,36.6,23.0,22.92,1.0,0.17,0.34,0.0,0.68,0.67,0.66,329.0,22.0,64.0,56.0,187.0,34.0,38.0,43.0,214.0,0.0,0.0,36212.0,0.0,0.0,0.0,21.0,104.24,11.23,10.79,11.08,10.65,99.0,46.0,56.0,201.0,7.0,11.0,1.0,97.0,36.0,12.0,2.71,4.48,4.03,2.0,3.0,2.0,198.77,145.0,143.68,1.6,2.75,2.96,9.87,9.75,9.48,151.11,13.84,12.99,14.03,13.17,146.0,66.0,69.0,281.0,15.0,12.0,3.0,158.0,41.0,13.0,4.57,4.86,4.41,4.0,6.0,5.0,284.63,212.0,215.21,2.62,3.04,3.04,13.42,13.61,13.21,33.21,30.32,611.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,5on5,14,12559.0,274.0,1.65,0.56,0.46,0.5,0.48,0.5,0.48,62.0,13.12,0.45,0.78,3.31,0.43,8.95,6.07,0.44,0.44,0.44,0.0,1.0,12.0,8.0,13.0,33.0,1.0,0.0,2.0,0.0,3.0,0.0,12.0,3.0,12.0,20.0,0.0,0.0,0.0,3.0,2.0,0.0,20.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,32.6,20.0,19.92,0.0,0.15,0.34,0.0,0.6,0.59,0.59,274.0,17.0,34.0,51.0,172.0,31.0,33.0,37.0,173.0,0.0,0.0,28859.0,0.0,0.0,0.0,15.0,96.53,10.5,10.06,10.36,9.92,90.0,45.0,52.0,187.0,6.0,11.0,1.0,88.0,36.0,11.0,2.53,4.48,3.48,2.0,3.0,1.0,184.77,135.0,133.68,1.46,2.75,2.96,9.0,8.88,8.61,98.79,8.18,8.0,8.36,8.18,97.0,40.0,49.0,186.0,13.0,8.0,2.0,103.0,28.0,6.0,3.12,3.29,1.77,4.0,6.0,3.0,189.63,137.0,140.21,1.3,1.52,1.52,7.95,8.14,8.06,19.54,23.18,434.0,465.0,0.33,0.03,13.0,2.0,10.0,1.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,4on5,14,2152.0,40.0,1.22,0.01,0.11,0.07,0.11,0.06,0.12,28.0,1.55,0.03,0.05,0.39,0.05,0.45,1.03,0.03,0.03,0.03,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.01,0.0,0.0,0.04,0.04,0.04,40.0,2.0,28.0,4.0,6.0,3.0,5.0,2.0,30.0,0.0,0.0,1905.0,0.0,0.0,0.0,1.0,3.04,0.06,0.06,0.06,0.06,3.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.02,0.0,0.0,0.09,0.09,0.08,40.51,4.13,3.76,4.13,3.76,38.0,20.0,13.0,71.0,1.0,3.0,0.0,43.0,10.0,5.0,1.15,1.22,1.76,0.0,0.0,1.0,71.0,58.0,58.0,0.99,0.89,0.89,4.22,4.22,3.98,0.27,2.19,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,5on4,14,53.0,6.0,0.63,1.0,0.93,0.5,0.85,1.0,0.85,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,1846.0,0.0,0.0,0.0,1.0,1.79,0.03,0.03,0.03,0.03,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.3,47.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
